date,code,code_name,industry_code,industry_name,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST,adjustflag,adjustment,data_source,listing_date,listing_age_trading_days,listing_status,listing_eligible,trading_status,price_limit_status,security_status
2019-01-10,sh.600000,浦发银行,J66,货币金融服务,9.9400,10.0200,9.9200,9.9600,9.9900,15923566,158718755.00,0.056660,-0.300298,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600015,华夏银行,J66,货币金融服务,7.4600,7.4700,7.4100,7.4200,7.4500,13039877,97022041.00,0.101694,-0.402681,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600016,民生银行,J66,货币金融服务,5.7400,5.7600,5.7100,5.7400,5.7600,57191975,328164876.00,0.161276,-0.347230,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600036,招商银行,J66,货币金融服务,25.5000,26.0800,25.4700,25.8500,25.7000,42630689,1101271158.00,0.206655,0.583656,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600318,新力金融,J66,货币金融服务,7.2600,7.3300,7.1300,7.1500,7.2800,5478447,39628013.00,1.131911,-1.785716,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600908,无锡银行,J66,货币金融服务,5.4400,5.4500,5.3800,5.4100,5.4600,5770000,31202487.00,0.706942,-0.915754,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600919,江苏银行,J66,货币金融服务,6.0500,6.0600,6.0100,6.0200,6.0600,21696914,130880139.00,0.361120,-0.660065,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.600926,杭州银行,J66,货币金融服务,7.5000,7.5600,7.4800,7.5300,7.5100,9410885,70760481.00,0.452088,0.266311,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.601009,南京银行,J66,货币金融服务,6.5500,6.5800,6.5100,6.5400,6.5600,26900726,175931022.00,0.317143,-0.304878,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
2019-01-10,sh.601128,常熟银行,J66,货币金融服务,6.2500,6.2900,6.1500,6.1800,6.2600,11092657,68786601.00,1.069469,-1.277962,1,0,3,none,Baostock,2018-01-02,250,listed_at_least_one_year,1,trading,none,normal
