code,code_name,industry_code,industry_name,classification,updateDate
sh.600000,浦发银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600015,华夏银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600016,民生银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600036,招商银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600318,新力金融,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600901,江苏金租,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600908,无锡银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600919,江苏银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600926,杭州银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.600928,西安银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601009,南京银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601077,渝农商行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601128,常熟银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601166,兴业银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601169,北京银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601187,厦门银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601229,上海银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601288,农业银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601328,交通银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601398,工商银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601528,瑞丰银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601577,长沙银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601658,邮储银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601665,齐鲁银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601818,光大银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601825,沪农商行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601838,成都银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601860,紫金银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601916,浙商银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601939,建设银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601963,重庆银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601988,中国银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601997,贵阳银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.601998,中信银行,J66,货币金融服务,证监会行业分类,2026-09-21
sh.603323,苏农银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.000001,平安银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.000617,中油资本,J66,货币金融服务,证监会行业分类,2026-09-21
sz.001227,兰州银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002142,宁波银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002807,江阴银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002839,张家港行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002936,郑州银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002948,青岛银行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002958,青农商行,J66,货币金融服务,证监会行业分类,2026-09-21
sz.002966,苏州银行,J66,货币金融服务,证监会行业分类,2026-09-21
