date,code,code_name,industry_code,industry_name,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST,adjustflag,adjustment,data_source
2018-01-02,sh.600000,浦发银行,J66,货币金融服务,12.61,12.77,12.6,12.72,12.59,31323053.0,398614966.0,0.111455,1.032566,1,0,3,none,Baostock
2018-01-02,sh.600015,华夏银行,J66,货币金融服务,9.02,9.13,9.01,9.11,9.0,26994220.0,245627203.0,0.210519,1.222218,1,0,3,none,Baostock
2018-01-02,sh.600016,民生银行,J66,货币金融服务,8.43,8.57,8.41,8.52,8.39,76508514.0,650512041.0,0.258897,1.549465,1,0,3,none,Baostock
2018-01-02,sh.600036,招商银行,J66,货币金融服务,29.02,30.06,29.02,29.62,29.02,67591307.0,2009147017.0,0.327653,2.067541,1,0,3,none,Baostock
2018-01-02,sh.600318,新力金融,J66,货币金融服务,12.7,13.25,12.62,13.08,12.7,3933126.0,51033424.0,0.812629,2.992127,1,0,3,none,Baostock
2018-01-02,sh.600908,无锡银行,J66,货币金融服务,7.9,7.96,7.88,7.92,7.87,10775269.0,85344748.0,1.360835,0.635326,1,0,3,none,Baostock
2018-01-02,sh.600919,江苏银行,J66,货币金融服务,7.33,7.45,7.33,7.44,7.35,41353635.0,306711893.0,0.698072,1.224492,1,0,3,none,Baostock
2018-01-02,sh.600926,杭州银行,J66,货币金融服务,11.62,11.79,11.54,11.65,11.53,18414408.0,215148275.0,1.256392,1.040762,1,0,3,none,Baostock
2018-01-02,sh.601009,南京银行,J66,货币金融服务,7.76,7.85,7.73,7.8,7.74,54139772.0,421997475.0,0.670918,0.775199,1,0,3,none,Baostock
2018-01-02,sh.601128,常熟银行,J66,货币金融服务,7.13,7.21,7.12,7.19,7.13,11625455.0,83464946.0,1.170316,0.841514,1,0,3,none,Baostock
2018-01-02,sh.601166,兴业银行,J66,货币金融服务,17.05,17.29,17.01,17.24,16.99,97602162.0,1678255423.0,0.512284,1.471454,1,0,3,none,Baostock
2018-01-02,sh.601169,北京银行,J66,货币金融服务,7.13,7.23,7.12,7.18,7.15,49500856.0,355910811.0,0.271267,0.419577,1,0,3,none,Baostock
2018-01-02,sh.601229,上海银行,J66,货币金融服务,14.23,14.41,14.22,14.39,14.18,22555679.0,323685782.0,0.608479,1.480959,1,0,3,none,Baostock
2018-01-02,sh.601288,农业银行,J66,货币金融服务,3.84,3.94,3.77,3.85,3.83,798519104.0,3073323622.0,0.271554,0.522193,1,0,3,none,Baostock
2018-01-02,sh.601328,交通银行,J66,货币金融服务,6.21,6.35,6.2,6.28,6.21,132531238.0,832319414.0,0.337652,1.127217,1,0,3,none,Baostock
2018-01-02,sh.601398,工商银行,J66,货币金融服务,6.19,6.39,6.11,6.18,6.2,537466208.0,3356778409.0,0.199348,-0.32258,1,0,3,none,Baostock
2018-01-02,sh.601818,光大银行,J66,货币金融服务,4.05,4.12,4.04,4.08,4.05,131468340.0,537373765.0,0.330236,0.740734,1,0,3,none,Baostock
